12:19:56  |  Core  |  Info  |  Load ini file 'openmw_edit.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_box.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_progress.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_hud_energybar.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_hud_box.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_mainmenu.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_console.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_journal.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_map_window.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_dialogue_window.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_scroll.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_debug_window.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_postprocessor_hud.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_layers.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_pointer.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_settings.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_lua.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:42:31  |  Core  |  Error  |  Skin 'Widget' not found. Replaced with default skin. []  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  92
12:42:31  |  Core  |  Error  |  Skin 'Widget' not found. Replaced with default skin. []  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  92
12:43:04  |  Core  |  Error  |  Skin 'Widget' not found. Replaced with default skin. []  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  92
12:43:04  |  Core  |  Error  |  Skin 'Widget' not found. Replaced with default skin. []  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  92
13:28:18  |  Core  |  Info  |  * Shutdown: Gui  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_Gui.cpp  |  107
13:28:18  |  Core  |  Info  |  * Shutdown: PointerManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  65
13:28:18  |  Core  |  Info  |  PointerManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  82
13:28:18  |  Core  |  Info  |  * Shutdown: InputManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_InputManager.cpp  |  64
13:28:18  |  Core  |  Info  |  InputManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_InputManager.cpp  |  69
13:28:18  |  Core  |  Info  |  * Shutdown: SkinManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  53
13:28:18  |  Core  |  Info  |  SkinManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  60
13:28:18  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  62
13:28:18  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  82
13:28:18  |  Core  |  Info  |  * Shutdown: LayerManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  47
13:28:18  |  Core  |  Info  |  destroy layer 'Scene'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'FadeToBlack'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'HitOverlay'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'HUD'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'JournalBooks'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'Windows'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'DragAndDrop'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'DrowningBar'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'MainMenuBackground'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'MainMenu'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'Settings'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'LoadingScreenBackground'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'LoadingScreen'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'Debug'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'Console'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
13:28:18  |  Core  |  Info  |  destroy layer 'Modal'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  207
